링크,제목
https://v.daum.net/v/20240415182727077,미 정부, 삼성전자에 64억 달러 지원…삼성도 450억 달러 대미 투자
https://v.daum.net/v/20240415180422513,중동 정세 불안에 증시 일제히 하락...환율 불안 고조
https://v.daum.net/v/20240415182030952,'성남FC 후원금 의혹' 재판, 내달 20일 증인신문 재개
https://v.daum.net/v/20240415172840441,5999원씩 수상한 결제… 신한카드, '더모아' 바뀐 포인트 유의사항 보니
https://v.daum.net/v/20240415172433319,尹, 16일 국무회의… 국정 쇄신 방향·국회 협력 방침 등 발표
https://v.daum.net/v/20240415180311460,국제유가 '살얼음'…유류세 두 달 더 누른다
https://v.daum.net/v/20240415180314463,치킨·버거 고삐 풀렸다…금리 인하 후퇴하나
https://v.daum.net/v/20240415181312790,"노후 월 250만원은 필요한데"…현실은 100만원 못 받아
https://v.daum.net/v/20240415160004312,[르포] 한화에어로 "방산 넘어 항공·우주로 돈 벌겠다"… 미래먹거리 '핵심기지' 가보니
https://v.daum.net/v/20240415181352795,尹, 내일 ‘총선’ 입장 표명… 담화는 없어
https://v.daum.net/v/20240415181012712,尹, 내일 총선 결과 입장 발표...새 비서실장은 고심
https://v.daum.net/v/20240415175936300,세컨드홈 사도 1주택, 지방 소멸 돌파구 될까
https://v.daum.net/v/20240415175726251,'바이든-날리면' MBC 과징금, '김어준의 뉴스공장' 관계자 징계
https://v.daum.net/v/20240415180112385,기후 위기에 눈 감은 도시에서
https://v.daum.net/v/20240415152458975,"건강하게 살고싶다...신평창변전소 설치 전면백지화 하라"
https://v.daum.net/v/20240415174803982,은행 알뜰폰에 시름하는 중소사업자
https://v.daum.net/v/20240415175612213,“이스라엘, 확전 의도 없지만 스스로 보호 위해 모든 조치 취할 것”
https://v.daum.net/v/20240415175012048,중동 리스크에 뺨 맞은 한국… 환율 치솟고 물가 아찔
https://v.daum.net/v/20240415165015764,이스라엘, 이란에 ‘반격’ 어떻게?…시기·방법 못 정해
https://v.daum.net/v/20240415163455107,풀리지 않는 ‘의-정 갈등’…"의료개혁 변함없어" vs "복지부 차관 고소“
